date,instrument,open,high,low,close,volume,amount
2020-08-11,600789.SH,28.02427475452423,28.442547512054443,27.466577744483946,27.578117146492005,30364431,305063105.0
2020-08-12,000518.SZ,46.74336650848389,47.16221387863159,44.3140517616272,45.82190229415893,55927528,302376338.0
2020-08-12,600789.SH,27.60600199699402,27.74542624950409,26.54637767791748,26.96465043544769,29379199,284175171.0
2020-08-13,000518.SZ,46.07321071624756,47.24598335266113,45.40305492401123,46.74336650848389,53280634,295969501.0
2020-08-13,600789.SH,26.992535285949707,27.187729239463806,26.85311103343964,26.992535285949707,17758274,172116668.0
2020-08-14,000518.SZ,46.156980190277096,46.74336650848389,44.81666860580444,46.324519138336186,40784431,223144847.0
2020-08-17,000518.SZ,46.324519138336186,48.33498651504516,46.07321071624756,47.83236967086792,55863575,315462889.0
2020-08-14,600789.SH,26.96465043544769,27.07618983745575,26.490607976913452,26.992535285949707,17260665,165931576.0
2020-08-18,000518.SZ,47.83236967086792,48.41875598907471,46.994674930572515,47.74860019683838,50528955,287025058.0
2020-08-17,600789.SH,26.908880734443667,27.41080804347992,26.908880734443667,27.327153491973878,21933910,213990974.0
2020-08-19,000518.SZ,47.74860019683838,47.91613914489746,45.654363346099856,45.98944124221802,46687359,258606153.0
2020-08-18,600789.SH,27.327153491973878,27.633886847496033,27.299268641471862,27.438692893981933,19363947,190551260.0
2020-08-20,000518.SZ,45.31928544998169,45.82190229415893,44.397821235656735,44.90043807983399,29937743,160693839.0
2020-08-19,600789.SH,27.49446259498596,27.522347445487974,26.74157163143158,26.82522618293762,21326731,206627170.0
2020-07-07,000518.SZ,36.52349067687989,37.19364646911622,36.10464330673217,36.52349067687989,68178156,298179809.0
2020-07-06,600789.SH,26.106385803222658,26.74515907287598,25.689794540405273,26.495204315185543,72837818,687874305.0
2020-07-07,600789.SH,26.522977066040042,27.661659851074223,26.217476806640622,27.16175033569336,89216459,870331549.0
2020-07-08,000518.SZ,36.3559517288208,38.53395805358886,35.60202646255493,37.69626331329346,78421663,345671678.0
2020-07-08,600789.SH,26.967341079711918,28.106023864746092,26.439658813476562,27.60611434936523,87550367,858827498.0
2020-07-09,000518.SZ,37.69626331329346,40.12557806015015,37.19364646911622,39.45542226791382,94981443,442077582.0
2020-07-09,600789.SH,27.356159591674803,29.966798171997066,27.106204833984375,28.99475189208984,113881107,1176053497.0
2020-07-10,000518.SZ,39.87426963806152,41.465889644622806,38.70149700164795,39.37165279388428,93364357,446483839.0
2020-07-10,600789.SH,29.994570922851565,30.550025939941406,28.828115386962892,28.883660888671876,122012288,1305492455.0
2020-07-13,000518.SZ,38.95280542373658,41.54965911865234,38.95280542373658,41.465889644622806,97876779,475296811.0
2020-07-13,600789.SH,28.855888137817384,30.188980178833006,28.494842376708984,30.161207427978514,104141043,1112630704.0
2020-07-14,000518.SZ,41.71719806671143,41.88473701477051,39.20411384582519,40.54442543029785,83323130,401248625.0
2020-07-15,000518.SZ,40.209347534179685,41.21458122253418,38.61772752761841,38.70149700164795,52899623,251355689.0
2020-07-14,600789.SH,30.188980178833006,30.96661720275879,28.55038787841797,29.27247940063476,92530875,988716886.0
2020-07-16,000518.SZ,38.61772752761841,38.95280542373658,36.439721202850336,36.69102962493896,45970070,206624484.0
2020-07-15,600789.SH,29.244706649780273,29.633525161743165,27.82829635620117,27.994932861328124,63236345,650143018.0
2020-09-15,000518.SZ,39.87426963806152,40.04180858612061,39.12034437179565,39.95803911209106,14542723,68437283.0
2020-09-14,600789.SH,24.650207843780517,25.2079048538208,24.59443814277649,24.761747245788577,8497622,75654053.0
2020-09-16,000518.SZ,39.87426963806152,40.71196437835694,39.539191741943355,39.539191741943355,15153501,72419944.0
2020-09-15,600789.SH,24.817516946792605,25.152135152816772,24.761747245788577,25.040595750808716,10583900,94898347.0
2020-09-17,000518.SZ,39.539191741943355,39.539191741943355,38.61772752761841,39.036574897766116,13934622,64883842.0
2020-09-16,600789.SH,24.929056348800657,25.124250302314756,24.705977544784545,24.901171498298645,7809348,69593214.0
2020-09-17,600789.SH,24.78963209629059,24.901171498298645,24.39924418926239,24.59443814277649,9342903,82331054.0
2020-09-18,000518.SZ,38.70149700164795,39.79050016403198,38.70149700164795,39.706730690002445,15151018,70939333.0
2020-09-18,600789.SH,24.510783591270446,24.956941199302673,24.48289874076843,24.929056348800657,10144473,90085297.0
2020-09-21,000518.SZ,39.706730690002445,40.12557806015015,39.20411384582519,40.04180858612061,15960533,75963945.0
2020-09-21,600789.SH,24.98482604980469,25.849256415367126,24.87328664779663,25.62617761135101,25791007,235763926.0
2020-09-22,000518.SZ,39.79050016403198,42.30358438491821,39.706730690002445,41.71719806671143,50265697,249023041.0
2020-09-22,600789.SH,25.486753358840943,26.602147378921508,25.4030988073349,26.211759471893313,40751927,382700984.0
2020-09-23,000518.SZ,41.80096754074097,43.225048599243166,40.376886482238774,42.806201229095464,48760380,245883340.0
2020-09-23,600789.SH,26.239644322395325,26.68580193042755,25.51463820934296,26.155989770889285,29865324,280804863.0
2020-09-24,000518.SZ,42.21981491088867,42.72243175506591,41.0470422744751,41.13081174850464,29323381,145454597.0
2020-11-06,000518.SZ,39.37165279388428,39.539191741943355,38.61772752761841,39.036574897766116,10081100,46797945.0
2020-11-05,600789.SH,25.2079048538208,25.43098365783691,25.152135152816772,25.34732910633087,10903687,98951478.0
2020-11-09,000518.SZ,39.12034437179565,40.04180858612061,38.95280542373658,39.79050016403198,15063447,71322952.0
2020-11-06,600789.SH,25.43098365783691,25.486753358840943,25.152135152816772,25.291559405326844,9778772,88524445.0
2020-11-10,000518.SZ,40.12557806015015,41.63342859268188,39.95803911209106,40.376886482238774,20650501,100186466.0
2020-11-09,600789.SH,25.34732910633087,25.849256415367126,25.31944425582886,25.73771701335907,18303341,168003966.0
2020-11-11,000518.SZ,40.29311700820922,40.29311700820922,39.20411384582519,39.62296121597291,12971600,61267828.0
2020-11-10,600789.SH,25.93291096687317,26.211759471893313,25.54252305984497,25.62617761135101,15846262,146761222.0
2020-11-12,000518.SZ,39.45542226791382,39.79050016403198,39.20411384582519,39.37165279388428,7975702,37570928.0
2020-11-11,600789.SH,25.654062461853027,25.681947312355042,25.180020003318784,25.31944425582886,10973744,99763024.0
2020-11-13,000518.SZ,39.20411384582519,39.37165279388428,38.78526647567749,39.37165279388428,6984400,32564231.0
2020-11-12,600789.SH,25.4030988073349,25.486753358840943,25.235789704322816,25.31944425582886,6468298,58712316.0
2020-11-16,000518.SZ,39.45542226791382,39.79050016403198,39.20411384582519,39.62296121597291,8299632,39149985.0
2020-11-13,600789.SH,25.235789704322816,25.291559405326844,24.901171498298645,25.124250302314756,8585229,77124638.0
2020-11-17,000518.SZ,39.539191741943355,39.62296121597291,38.869035949707026,39.036574897766116,10224300,47623580.0
2020-11-16,600789.SH,25.096365451812744,25.26367455482483,24.956941199302673,25.180020003318784,13343168,120125174.0
2020-08-21,000518.SZ,45.1517465019226,45.48682439804077,44.397821235656735,44.81666860580444,25112539,134510563.0
2020-08-20,600789.SH,26.65791707992554,27.02042013645172,26.54637767791748,26.76945648193359,11918203,114656406.0
